表章項目 コード,表章項目,時間軸 コード,時間軸,全国、都道府県、21大都市 コード,全国、都道府県、21大都市,腐朽・破損の有無 コード,腐朽・破損の有無,住宅の建て方 コード,住宅の建て方,建物の構造 コード,建物の構造,賃貸・売却用及び二次的住宅を除く空き家
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,0.0,総数,3.0,共同住宅,1.0,木造,1900.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,0.0,総数,3.0,共同住宅,2.0,非木造,7300.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,15900.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,44100.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,1500.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1700.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,6700.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,0.0,総数,1.0,一戸建,1.0,木造,94800.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,0.0,総数,1.0,一戸建,2.0,非木造,3900.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,0.0,総数,2.0,長屋建,1.0,木造,2000.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,0.0,総数,2.0,長屋建,2.0,非木造,1000.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,0.0,総数,3.0,共同住宅,1.0,木造,7100.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,0.0,総数,3.0,共同住宅,2.0,非木造,26100.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,23400.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,1200.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,2200.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,71500.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,3200.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,1500.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,800.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,5800.0
03-2023,空き家数【戸】,2023000000.0,2023年,11000.0,埼玉県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,23800.0
